dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587728919520739510,1237654640745644213,4.66264079575315E-05,213.76047109,62.68613942,1.171074,2.80054
587728919520739510,1237654640745644213,4.66264079575315E-05,213.76047109,62.68613942,1.171074,2.80054
587728919520739510,1237654640745644213,4.66264079575315E-05,213.76047109,62.68613942,1.171074,2.80054
587728920058658827,1237654641283563531,6.24323292049163E-05,218.45094879,61.93387769,1.602422,3.758213
587728930269036669,1237654651493941358,6.19513813177778E-06,135.28481921,46.88086134,1.419414,3.130125
587728930269036669,1237654651493941358,6.19513813177778E-06,135.28481921,46.88086134,1.419414,3.130125
587728930269036669,1237654651493941358,6.19513813177778E-06,135.28481921,46.88086134,1.419414,3.130125
587728930269036669,1237654651493941358,6.19513813177778E-06,135.28481921,46.88086134,1.419414,3.130125
587728931875586144,1237654653100490983,9.70502108294482E-06,124.82156494,41.233516,1.652303,4.386384
587728931876241418,1237654653101146281,4.06322697687707E-06,126.12486289,42.22706289,1.816431,5.099062
587728931876241418,1237654653101146281,4.06322697687707E-06,126.12486289,42.22706289,1.816431,5.099062
587728948513669243,1237654669738573951,9.7207969128081E-07,156.79904885,-0.30375587,1.948897,5.005244
587729155745644681,1237654876970549389,5.925215372855E-05,182.78352666,65.69079745,1.306964,3.063679
587729156280418412,1237654877505323131,8.79691095165121E-05,171.2927385,65.5064988,3.39574,9.935144
587729160042840112,1237654881267744802,8.29485951728168E-06,200.91598588,5.46912511,1.195968,3.568453
587729160055619777,1237654881280524482,6.8532413284324E-06,230.1123278,4.29275085,1.920941,4.409286
587729160055619777,1237654881280524482,6.8532413284324E-06,230.1123278,4.29275085,1.920941,4.409286
587729231445033334,1237654952669938054,6.20886012728645E-06,253.88917712,39.58193541,4.158051,9.026515
587729231981969530,1237654953206874205,2.10239343692317E-06,254.31244384,39.68621708,0.9271241,2.371633
587729231981969530,1237654953206874205,2.10239343692317E-06,254.31244384,39.68621708,0.9271241,2.371633
587729231981969530,1237654953206874205,2.10239343692317E-06,254.31244384,39.68621708,0.9271241,2.371633
587729231982232075,1237654953207136819,6.48285433958178E-06,254.74855118,39.06843675,1.89903,5.081872
587729231982232075,1237654953207136819,6.48285433958178E-06,254.74855118,39.06843675,1.89903,5.081872
587729233054794006,1237654954279698736,1.05370094908114E-05,254.05622066,42.0224739,1.84999,3.936291
587729233059054103,1237654954283958852,1.44091824514867E-05,259.87676958,33.33127296,1.778599,5.584596
587729233059054103,1237654954283958852,1.44091824514867E-05,259.87676958,33.33127296,1.778599,5.584596
587729385539305509,1237655106764210213,8.92197159855568E-05,171.42034089,58.19595508,1.70336,4.455278
587729385539305509,1237655106764210213,8.92197159855568E-05,171.42034089,58.19595508,1.70336,4.455278
587729385539305509,1237655106764210213,8.92197159855568E-05,171.42034089,58.19595508,1.70336,4.455278
587729385539305509,1237655106764210213,8.92197159855568E-05,171.42034089,58.19595508,1.70336,4.455278
587729386066083959,1237655107290988660,0.000101351464844737,136.23988858,47.95008927,1.452941,3.025698
587729386608263330,1237655107833167973,9.40238461758013E-05,152.0878028,55.20860337,1.685382,3.603711
587729386613112908,1237655107838017607,9.207705578872E-05,171.21419205,58.97928182,1.639145,3.855705
587729387680891039,1237655108905795806,0.000102138635728496,147.55983431,54.60577636,1.466924,3.759347
