dr7objid,dr8objid,distance
587731500256395413,1237657221481300129,0.00011773820344202
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731511539793980,1237657232764698696,6.23400491532237E-06
587731512076140753,1237657233301045458,1.52613338608725E-06
587731512081842218,1237657233306747005,6.25935116434882E-06
587731512081842218,1237657233306747005,6.25935116434882E-06
587731512081842218,1237657233306747005,6.25935116434882E-06
587731512081842218,1237657233306747005,6.25935116434882E-06
587731512081842218,1237657233306747005,6.25935116434882E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731512620351634,1237657233845256370,5.53958108152646E-06
587731514214776901,1237657235439681598,3.37846519483899E-06
587731514228080766,1237657235452985464,6.34993982450072E-07
587731514230964358,1237657235455869055,2.66717471845457E-06
587731514230964358,1237657235455869055,2.66717471845457E-06
587731514230964358,1237657235455869055,2.66717471845457E-06
587731679582355644,1237657400807260369,5.46731719189654E-06
587731869094117492,1237657590319022167,6.41279793798291E-05
587731869634986069,1237657590859890766,8.39317998111561E-05
587731872846119209,1237657594071023905,1.55783909987916E-06
587731872846709171,1237657594071613915,5.47937473594689E-06
587731873921630644,1237657595146535367,3.72701487160055E-06
587731885736001723,1237657606960906423,2.72495942764915E-06
587731885736001723,1237657606960906423,2.72495942764915E-06
587731885736001723,1237657606960906423,2.72495942764915E-06
587731885736001723,1237657606960906423,2.72495942764915E-06
587731885736001723,1237657606960906423,2.72495942764915E-06
587731886813282544,1237657608038187239,2.74202009806929E-06
587731887885713577,1237657609110618266,6.13328644981922E-06
587731890041061604,1237657611265966282,6.56550667504531E-05
587731891651936408,1237657612876841123,9.59281924676909E-05
587731892189462654,1237657613414367331,8.47801049055946E-05
587731892191690865,1237657613416595545,6.75734813834817E-05
587731892191690865,1237657613416595545,6.75734813834817E-05
587731913111240754,1237657634336145452,8.922446639918E-05
587731913111240754,1237657634336145452,8.922446639918E-05
587732053238546694,1237657774463451369,1.30777476948928E-05
587732053239398474,1237657774464303189,3.6389170687846E-06
587732054309273609,1237657775534178597,4.21803222178698E-07
587732134303039490,1237657855527944194,3.01640332695789E-05
587732134303039490,1237657855527944194,3.01640332695789E-05
587732152567529576,1237657873792434312,2.30781956801418E-05
587732482204827706,1237658203429732409,2.36904734606351E-05
587732482204827706,1237658203429732409,2.36904734606351E-05
587732482204827706,1237658203429732409,2.36904734606351E-05
587732482204827706,1237658203429732409,2.36904734606351E-05
587732482204827706,1237658203429732409,2.36904734606351E-05
587732483835494515,1237658205060399208,7.60738074966416E-06
587732484358864907,1237658205583769665,7.8693835343541E-05
587732484905042056,1237658206129946800,5.37886621631108E-06
587732578309701694,1237658299534606488,2.93746677913312E-06
587732578834055306,1237658300058960028,2.18203032248611E-06
587732578834055306,1237658300058960028,2.18203032248611E-06
587732578834055306,1237658300058960028,2.18203032248611E-06
587732578840543416,1237658300065448099,2.47381005724395E-06
587732582593658933,1237658303818563621,9.39127513616097E-05
587732582593658933,1237658303818563621,9.39127513616097E-05
587732582593658933,1237658303818563621,9.39127513616097E-05
587732590908866598,1237658311865336002,8.49789794078742E-05
587732590908866598,1237658311865336002,8.49789794078742E-05
587732701251829887,1237658422476734594,1.16230659172271E-06
587732702851432522,1237658424076337223,2.09281901622416E-06
587732702851432522,1237658424076337223,2.09281901622416E-06
587732702851432522,1237658424076337223,2.09281901622416E-06
587732702851432522,1237658424076337223,2.09281901622416E-06
587732772117610671,1237658493342515383,1.05463250782099E-05
587732772117610671,1237658493342515383,1.05463250782099E-05
587733079734943902,1237658800959848582,5.8890161906158E-05
587733080270831703,1237658801495736402,7.15157938529797E-05
587733080815763617,1237658802040668298,9.18878684594088E-05
587733081345491000,1237658802570395728,5.52763676639899E-05
587733081345491000,1237658802570395728,5.52763676639899E-05
587733081345491000,1237658802570395728,5.52763676639899E-05
587733081345491000,1237658802570395728,5.52763676639899E-05
587733081354993766,1237658802579898447,9.82130723359314E-05
587733081891864689,1237658803116769361,7.83273594950931E-05
587733397566586920,1237659118791491692,5.63354457947659E-06
587733427623166059,1237659148848070843,6.60784847076962E-05
587733428699463814,1237659149924368515,6.79076503361282E-05
587733432457298161,1237659153682202903,8.14260908098234E-06
587733432457298161,1237659153682202903,8.14260908098234E-06
587733432457298161,1237659153682202903,8.14260908098234E-06
587733441055883709,1237659162280788414,2.25468196494633E-06
587733441589674365,1237659162814579027,1.11764349114232E-05
587733441589674365,1237659162814579027,1.11764349114232E-05
587734303805210914,1237660025030115584,7.74911876576447E-07
587734303805210914,1237660025030115584,7.74911876576447E-07
587734303805210914,1237660025030115584,7.74911876576447E-07
587734303807570087,1237660025032474741,1.61597355715331E-05
587734304339132644,1237660025564037199,1.03925397930309E-06
587734304882884859,1237660026107789549,1.93004315436781E-06
587734304882884859,1237660026107789549,1.93004315436781E-06
587734304882884859,1237660026107789549,1.93004315436781E-06
587734621631152150,1237660342856056992,2.95052346440862E-06
587734893288161358,1237660614513066082,3.02342435073783E-06
587734893288161358,1237660614513066082,3.02342435073783E-06
587734894365900866,1237660615590805624,1.77934797784152E-05
587734948050436218,1237660669275340913,5.54627828002494E-06
587735239569309828,1237660960794214597,1.43830906949273E-05
587735239569309828,1237660960794214597,1.43830906949273E-05
587735239569309828,1237660960794214597,1.43830906949273E-05
587735343185854655,1237661064410759348,1.20400201557417E-05
587735343187230836,1237661064412135540,1.66199635604583E-05
587735343190442016,1237661064415346722,8.93966499713785E-06
587735343190442016,1237661064415346722,8.93966499713785E-06
587735343190442016,1237661064415346722,8.93966499713785E-06
587735346963021934,1237661068187926643,5.29783775784549E-06
587735661014614214,1237661382239518877,6.23340632419E-06
587735662625947742,1237661383850852402,5.30915830517448E-06
587735666927468810,1237661388152373532,1.50657013455654E-06
587735666929500308,1237661388154404985,8.92693130914472E-06
587735667452805142,1237661388677709894,6.40271783634512E-05
587735694841610284,1237661416066515070,5.56337883593917E-05
587735696982081624,1237661418206986329,6.8897855255136E-05
587736477596319883,1237662198821224572,2.97976033727773E-06
587736479199658069,1237662200424562759,3.99865992815069E-06
587736479199658069,1237662200424562759,3.99865992815069E-06
587736479199658069,1237662200424562759,3.99865992815069E-06
587736523762106574,1237662244987011268,6.89917503680243E-06
587736525371736210,1237662246596640886,5.42465748861258E-06
587736525371736210,1237662246596640886,5.42465748861258E-06
587736525372194848,1237662246597099644,9.379300015396E-07
587736525910769824,1237662247135674578,3.38845979935815E-06
587736542026203488,1237662263251108144,1.79336316250777E-05
587736543100272840,1237662264325177767,5.96645551136253E-06
587736543100272840,1237662264325177767,5.96645551136253E-06
587736543100272840,1237662264325177767,5.96645551136253E-06
587736543100469624,1237662264325374315,5.13224709254382E-06
587736547389931847,1237662268614836471,3.97009269645373E-06
587736584434155686,1237662305659060371,6.81546853091271E-07
587736584970699129,1237662306195603814,2.70622755030345E-06
587736585513271492,1237662306738176158,1.25361594060951E-05
587736585513271492,1237662306738176158,1.25361594060951E-05
587736618790551565,1237662340015456268,1.1021391728106E-05
587736751935193384,1237662473160098054,1.00714070881546E-05
587736783073837347,1237662504298742005,4.31996021279428E-06
587736783073837347,1237662504298742005,4.31996021279428E-06
587736783073837347,1237662504298742005,4.31996021279428E-06
587736783605399703,1237662504830304375,1.06436331119283E-05
587736783605399703,1237662504830304375,1.06436331119283E-05
587736812596625449,1237662533821530222,8.62967965310726E-06
587736813135331624,1237662534360236333,3.33174429328123E-06
587736915687702726,1237662636912607489,4.28093153557473E-06
587737809029496931,1237663530254401644,3.55792856980137E-06
587737809029496931,1237663530254401644,3.55792856980137E-06
587737809029496931,1237663530254401644,3.55792856980137E-06
587737809029496931,1237663530254401644,3.55792856980137E-06
587737809571676343,1237663530796581101,6.49848209410393E-05
587737809571676343,1237663530796581101,6.49848209410393E-05
587737825670201773,1237663546895106482,6.27022966500027E-06
587737825682849859,1237663546907754551,0.00011951711535385
587737825682849859,1237663546907754551,0.00011951711535385
587737825682849859,1237663546907754551,0.00011951711535385
587737825682849859,1237663546907754551,0.00011951711535385
587737933044908391,1237663654269813097,3.60975812327236E-06
587738066188042545,1237663787412947307,4.211085598151E-06
587738195573670166,1237663916798574897,1.32909922231884E-05
587738568173879302,1237664289398784009,6.63617444364614E-06
587738568173879302,1237664289398784009,6.63617444364614E-06
587738568173879302,1237664289398784009,6.63617444364614E-06
587738568705966263,1237664289930870952,8.70780837767163E-06
587738568705966263,1237664289930870952,8.70780837767163E-06
587738568705966263,1237664289930870952,8.70780837767163E-06
587738569249587348,1237664290474492025,3.31790672352578E-06
587738570323853377,1237664291548758207,1.74069939973169E-06
587738574072512544,1237664295297417251,3.81185271433762E-06
587738574072512544,1237664295297417251,3.81185271433762E-06
587738574609973544,1237664295834878231,4.18367703339446E-06
