dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587731186198380750,1237656907423285432,1.32512463118764E-06,347.36500554,-0.00555155,2.089074,5.683849
587731186735317158,1237656907960221848,3.01111392721988E-05,347.47663412,0.3649155,0.8077857,1.622168
587731186746392612,1237656907971297306,2.75010892514827E-06,12.80880097,0.34703845,3.367034,7.137695
587731186746392612,1237656907971297306,2.75010892514827E-06,12.80880097,0.34703845,3.367034,7.137695
587731186746392613,1237656907971297307,2.47746717169948E-05,12.80802964,0.34640718,0.7427375,1.518933
587731186746392613,1237656907971297307,2.47746717169948E-05,12.80802964,0.34640718,0.7427375,1.518933
587731187807355000,1237656909032259694,4.93317142388238E-06,343.58172111,1.06734659,2.36126,4.958007
587731187807355000,1237656909032259694,4.93317142388238E-06,343.58172111,1.06734659,2.36126,4.958007
587731512081580211,1237657233306484950,2.12608730686026E-06,47.73526597,-0.58278817,2.225984,6.404579
587731512081580211,1237657233306484950,2.12608730686026E-06,47.73526597,-0.58278817,2.225984,6.404579
587731512081580211,1237657233306484950,2.12608730686026E-06,47.73526597,-0.58278817,2.225984,6.404579
587731512612356212,1237657233837260890,1.87402336449616E-06,33.76645988,-0.1350726,1.222084,2.822953
587731512617926834,1237657233842831518,6.06491861140135E-06,46.58215722,-0.00948125,2.026273,6.051084
587731512617926834,1237657233842831518,6.06491861140135E-06,46.58215722,-0.00948125,2.026273,6.051084
587731512617926834,1237657233842831518,6.06491861140135E-06,46.58215722,-0.00948125,2.026273,6.051084
587731512617926834,1237657233842831518,6.06491861140135E-06,46.58215722,-0.00948125,2.026273,6.051084
587731513685246095,1237657234910150776,4.7588535181565E-06,31.85298057,0.65068621,2.303067,6.428134
587731521198031218,1237657242422935906,2.79634255547097E-06,117.98201525,28.79519783,2.865521,5.69903
587731522276294687,1237657243501199575,1.24271043650837E-06,125.7590662,36.76635711,1.516545,3.855354
587731869087563875,1237657590312468554,3.05175421649767E-06,146.05814929,47.80730412,1.678145,4.597755
587731869090644158,1237657590315548844,0.000120060616852013,155.58080827,51.17968236,1.620247,4.258224
587731869090644158,1237657590315548844,0.000120060616852013,155.58080827,51.17968236,1.620247,4.258224
587731869090644158,1237657590315548844,0.000120060616852013,155.58080827,51.17968236,1.620247,4.258224
587731869090644158,1237657590315548844,0.000120060616852013,155.58080827,51.17968236,1.620247,4.258224
